"year";"orgnr";"var";"denominator";"ind_id"
2017;974724774;187;194;"hoftebrudd_dekgrad_prim_brudd"
2018;974724774;218;221;"hoftebrudd_dekgrad_prim_brudd"
2008;974725215;37;43;"hoftebrudd_dekgrad_prim_brudd"
2009;974725215;32;39;"hoftebrudd_dekgrad_prim_brudd"
2010;974725215;40;53;"hoftebrudd_dekgrad_prim_brudd"
2011;974725215;54;54;"hoftebrudd_dekgrad_prim_brudd"
2012;974725215;50;55;"hoftebrudd_dekgrad_prim_brudd"
2013;974725215;66;73;"hoftebrudd_dekgrad_prim_brudd"
2014;974725215;55;61;"hoftebrudd_dekgrad_prim_brudd"
2015;974725215;57;59;"hoftebrudd_dekgrad_prim_brudd"
2016;974725215;45;49;"hoftebrudd_dekgrad_prim_brudd"
2017;974725215;73;79;"hoftebrudd_dekgrad_prim_brudd"
2018;974725215;48;49;"hoftebrudd_dekgrad_prim_brudd"
2010;974733013;243;263;"hoftebrudd_dekgrad_prim_brudd"
2011;974733013;239;281;"hoftebrudd_dekgrad_prim_brudd"
2012;974733013;267;281;"hoftebrudd_dekgrad_prim_brudd"
2013;974733013;209;240;"hoftebrudd_dekgrad_prim_brudd"
2014;974733013;239;276;"hoftebrudd_dekgrad_prim_brudd"
2015;974733013;262;285;"hoftebrudd_dekgrad_prim_brudd"
2016;974733013;215;215;"hoftebrudd_dekgrad_prim_brudd"
2017;974733013;228;246;"hoftebrudd_dekgrad_prim_brudd"
2018;974733013;262;290;"hoftebrudd_dekgrad_prim_brudd"
2008;974742985;63;69;"hoftebrudd_dekgrad_prim_brudd"
2009;974742985;61;75;"hoftebrudd_dekgrad_prim_brudd"
2010;974742985;75;91;"hoftebrudd_dekgrad_prim_brudd"
2011;974742985;82;94;"hoftebrudd_dekgrad_prim_brudd"
2012;974742985;75;85;"hoftebrudd_dekgrad_prim_brudd"
2013;974742985;65;79;"hoftebrudd_dekgrad_prim_brudd"
2014;974742985;66;72;"hoftebrudd_dekgrad_prim_brudd"
